,CollgCr,Veenker,Crawfor,NoRidge,Mitchel,Somerst,NWAmes,OldTown,BrkSide,Sawyer,NridgHt,NAmes,SawyerW,IDOTRR,MeadowV,Edwards,Timber,Gilbert,StoneBr,ClearCr,NPkVill,Blmngtn,BrDale,SWISU
53,HouseStyle_SLvl,,LotConfig_Inside,,LandContour_Lvl,Condition1_Norm,Condition1_PosA,MSZoning,Exterior2nd_Plywood,Exterior1st_Plywood,,Exterior1st_HdBoard,HalfBath,Exterior1st_Stucco,,BsmtQual,EnclosedPorch,,,,,,,
54,MSZoning,,BsmtCond,,2ndFlrSF,ScreenPorch,Exterior1st_Plywood,Exterior2nd_Stucco,BsmtHalfBath,ExterCond,,SaleType_Oth,Exterior2nd_HdBoard,BedroomAbvGr,,Alley,PavedDrive,,,,,,,
55,BedroomAbvGr,,FullBath,,MSZoning,SaleType_New,Exterior2nd_Plywood,GarageFinish,Foundation_CBlock,KitchenQual,,Condition1_Norm,TotRmsAbvGrd,,,Exterior1st_AsphShn,Exterior1st_HdBoard,,,,,,,
56,ScreenPorch,,HouseStyle_2Story,,Exterior2nd_VinylSd,,HouseStyle_SFoyer,BsmtQual,Condition2_Feedr,Exterior2nd_Wd Sdng,,BsmtFullBath,MasVnrType_None,,,BsmtFinType2,OverallCond,,,,,,,
57,LotShape,,HouseStyle_1Story,,RoofStyle_Hip,,ScreenPorch,ExterQual,Fireplaces,MiscFeature_NoMisc,,LandContour_Lvl,MasVnrType_Stone,,,Exterior2nd_CmentBd,GarageType,,,,,,,
58,GarageType,,FireplaceQu,,Foundation_PConc,,Foundation_PConc,Foundation_CBlock,LotConfig_FR3,MiscVal,,Exterior1st_WdShing,GarageCars,,,PavedDrive,,,,,,,,
59,BsmtHalfBath,,BldgType_2fmCon,,Exterior1st_VinylSd,,BsmtCond,BsmtCond,MSSubClass,MasVnrType_BrkFace,,LotConfig_Inside,LotShape,,,BldgType_TwnhsE,,,,,,,,
60,BldgType_TwnhsE,,LandContour_Lvl,,HouseStyle_SLvl,,BsmtFinType2,KitchenAbvGr,LandContour_HLS,HeatingQC,,GarageQual,MSZoning,,,Exterior1st_MetalSd,,,,,,,,
61,LandContour_Lvl,,Electrical_FuseF,,MiscVal,,RoofMatl_WdShngl,RoofStyle_Mansard,GarageType,MSZoning,,Exterior1st_VinylSd,Exterior2nd_ImStucc,,,MSZoning,,,,,,,,
62,LandSlope,,SaleType_New,,Exterior1st_HdBoard,,Condition1_Norm,BldgType_Duplex,BsmtExposure,CentralAir,,Exterior2nd_Plywood,Exterior1st_VinylSd,,,MSSubClass,,,,,,,,
63,GarageQual,,BldgType_TwnhsE,,HeatingQC,,LotConfig_Inside,PavedDrive,Exterior1st_WdShing,HouseStyle_SFoyer,,Exterior1st_MetalSd,BedroomAbvGr,,,LandSlope,,,,,,,,
64,BsmtFinType2,,BedroomAbvGr,,PoolQC,,LotConfig_CulDSac,SaleType_WD,Exterior2nd_CmentBd,Exterior2nd_MetalSd,,BsmtFinType2,Foundation_Slab,,,BsmtFinSF2,,,,,,,,
65,HalfBath,,ExterCond,,PoolArea,,ExterQual,LotConfig_Inside,GarageFinish,MSSubClass,,SaleType_WD,Fence,,,SaleType_ConLI,,,,,,,,
66,LotConfig_Inside,,GarageCars,,HouseStyle_1Story,,Condition2_RRAn,Exterior1st_Stucco,Condition1_RRAn,PavedDrive,,BsmtHalfBath,Exterior2nd_VinylSd,,,LandContour_Low,,,,,,,,
67,Condition1_PosN,,Exterior2nd_HdBoard,,HalfBath,,RoofStyle_Mansard,RoofStyle_Gambrel,,Condition1_Norm,,MasVnrType_BrkFace,LotConfig_Inside,,,RoofMatl_Tar&Grv,,,,,,,,
68,LandContour_Low,,Exterior2nd_Wd Sdng,,ExterCond,,Exterior1st_WdShing,BsmtHalfBath,,Condition1_RRAe,,MSSubClass,,,,PoolArea,,,,,,,,
69,Exterior2nd_HdBoard,,Exterior2nd_VinylSd,,LotConfig_Inside,,GarageCars,Exterior1st_VinylSd,,OverallQual,,Electrical_SBrkr,,,,Exterior2nd_Wd Shng,,,,,,,,
70,Exterior1st_Plywood,,ExterQual,,LotConfig_FR2,,MasVnrType_Stone,LandSlope,,,,GarageCond,,,,SaleType_ConLD,,,,,,,,
71,Exterior2nd_Wd Shng,,Exterior1st_Stucco,,KitchenAbvGr,,MiscVal,HouseStyle_1Story,,,,RoofStyle_Hip,,,,RoofStyle_Gable,,,,,,,,
